name,accepts_ebt,distributes_health_bucks,open_year_round,address,borough,latitude,longitude,point_geometry_wgs84
Heritage Farm Stand (Compost Demonstration Site),Yes,true,false,1000 Richmond Terrace (compost demonstration site),Staten Island,40.645075,-74.104753,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1BJ\xEDE\xB4\x86R\xC0\xCD;N\xD1\x91RD@
Greenmarket at the Oculus,Yes,true,false,Church at Fulton St.,Manhattan,40.711466,-74.010662,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xD6S\xAB\xAF\xAE\x80R\xC0\xA7\x1BaQ\x11[D@
NYP Youth Market - Audobon,No,false,false,21 Audobon Ave.,Manhattan,40.839441,-73.939118,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00oEb\x82\x1A|R\xC0\xF4\xF5|\xCDrkD@
57th Street Greenmarket,Yes,true,false,W. 57th St. & 10th Ave.,Manhattan,40.769117,-73.988559,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA7\xCA\xF7\x8CD\x7FR\xC0\x1B\xE6\x04mrbD@
Market in the Heights at 125,Yes,true,false,163 West 125th St.,Manhattan,40.809344,-73.947722,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xC8\xEC,z\xA7|R\xC0_\x9B\x8D\x95\x98gD@"
Dag Hammarskjold Greenmarket,Yes,true,true,47th St. & 2nd Ave.,Manhattan,40.752122,-73.968154,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00v\xDF1<\xF6}R\xC0\x11M\xA0\x88E`D@
New Roots Farm Stand,Yes,true,false,670 Grand Concourse,Bronx,40.821447,-73.925492,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00k-\xCCB;{R\xC0\xDA2\xE0,%iD@"
Harvest Home North Central Bronx Farmers Market,Yes,true,false,Mosholu Parkway & Jerome Ave.,Bronx,40.8797,-73.884661,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xFC\xC2+I\x9ExR\xC0E%u\x02\x9ApD@
Parkchester Greenmarket,Yes,true,false,Westchester Ave. & White Plains Road,Bronx,40.833279,-73.862833,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x006:\xE7\xA78wR\xC0\xC6\xB8\xE2\xE2\xA8jD@
Harvest Home Jacobi Hospital Farmers Market,Yes,true,false,1400 Pelham Parkway,Bronx,40.8574,-73.847079,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x008\x88\xD6\x8A6vR\xC0\x91\xCB\x7FH\xBFmD@
Morning Glory Market at the New York Botanical Gardens,Yes,true,false,2900 Southern Blvd.,Bronx,40.865684,-73.883312,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x85\x0A\x0E/\x88xR\xC0\xD0U\xBA\xBB\xCEnD@
Fresh Vibes Market at Medgar Evers College,Yes,true,false,1630 Bedford Ave.,Brooklyn,40.666799,-73.956679,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00Gq\x8E::}R\xC0\xB4\x00m\xABYUD@
Kensington Farmstand,Yes,true,false,McDonald Ave. & Albermarle Road,Brooklyn,40.64511,-73.979882,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1A\xFC\xFDb\xB6~R\xC0J)\xE8\xF6\x92RD@
RiseBoro Farmers Market at Hopefield,Yes,true,false,Knickerbocker Ave. bet Menahan St. & Grove St.,Brooklyn,40.69768,-73.916366,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA5J\x94\xBD\xA5zR\xC0c\x89\x07\x94MYD@
Seeds in the Middle Brownsville Farm Stand,Yes,true,false,104 Sutter Ave. (IS 392),Brooklyn,40.665965,-73.918107,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA3\xCE\xDCC\xC2zR\xC0\xEB\xA3SW>UD@
Ditmars Park Farmstand,Yes,true,false,Steinway St. bet Ditmars Blvd. & 23rd Ave.,Queens,40.772854,-73.906061,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x96\xCBF\xE7\xFCyR\xC0\x9BJ?\xE1\xECbD@
Far Rock Farm Stand,Yes,true,false,45-55 Beach Channel Dr.,Queens,40.595572,-73.777001,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00e\xFDfb\xBAqR\xC0\xE54\x0B\xB4;LD@
Rockaway Youth Task Force Youth Market,Yes,false,false,310 Beach 58th St.,Queens,40.594492,-73.788077,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB5n\x83\xDAorR\xC0\xE8\xDDXP\x18LD@
Elmhurst Hospital Greenmarket,Yes,true,false,41st Ave. bet 80th & 81st Sts.,Queens,40.745794,-73.885489,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF0\xFD\x0D\xDA\xABxR\xC0\xC7\xC6\x83-v_D@
Edgemere Farm Market,Yes,true,false,385 Beach 45th St.,Queens,40.595255,-73.776524,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xC8#\xB8\x91\xB2qR\xC0\xE7\xE3\xDAP1LD@
Queens County Farm Museum Farm Stand,Yes,true,false,73-50 Little Neck Parkway,Queens,40.748163,-73.719431,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA1.R(\x0BnR\xC0\xE3\x89 \xCE\xC3_D@
Astor Place Greenmarket,Yes,true,false,E. 8th St. & Lafayette,Manhattan,40.72982,-73.991023,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00]\xA5\xBB\xEBl\x7FR\xC0\xBD\xFB\xE3\xBDj]D@
Tribeca Greenmarket,Yes,true,false,Greenwich & Chambers streets,Manhattan,40.716303,-74.010966,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x8C\xD7\xBC\xAA\xB3\x80R\xC0i\x83\x13\xD1\xAF[D@
Fort Washington Greenmarket,Yes,true,false,168th St. & Ft. Washington Ave.,Manhattan,40.842296,-73.942027,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBC<\x9D+J|R\xC0\x9D\xC6\xF6Z\xD0kD@
97th Street Greenmarket,Yes,true,true,97th St. bet Columbus & Amsterdam Aves,Manhattan,40.794003,-73.96807,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00G\x8F\xDF\xDB\xF4}R\xC0\x82\xF6\xEA\xE3\xA1eD@
Norwood Farmstand,Yes,true,true,E. Gun Hill Rd. & Dekalb Ave. (SE corner),Bronx,40.88222,-73.880458,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1A\xE0\x82lYxR\xC0E\xF0\xBF\x95\xECpD@
Harvest Home Co-op City Farm Stand,Yes,true,false,Asch Loop & Aldrich Ave.,Bronx,40.8702,-73.830963,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE9Ko\x7F.uR\xC0T}\xAE\xB6boD@
NYP Youth Market - Brooklyn,No,false,false,249 7th Ave.,Brooklyn,40.669218,-73.979629,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA5M\xD5=\xB2~R\xC0\x7F\xF2w\xEF\xA8UD@
Isabahlia Farmers Market,Yes,true,false,514 Rockaway Ave. (ISO Student Farm),Brooklyn,40.667554,-73.910207,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xC7e\xDC\xD4@zR\xC02(\xD3hrUD@
Harvest Home Kings County Hospital Farmers Market,Yes,true,false,Clarkson Ave. bet E. 37th & 38th Sts.,Brooklyn,40.6558,-73.943355,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00(a\xA6\xED_|R\xC0\xC3[ A\xF1SD@
Fresh Vibes Market at the Bureau of Brooklyn Neighborhood Health,Yes,true,false,485 Throop Ave.,Brooklyn,40.685547,-73.941282,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x10\x94\xDB\xF6=|R\xC0xo\x0C\x01\xC0WD@
Bay Ridge Greenmarket,Yes,true,false,3rd Ave. & 95th St.,Brooklyn,40.61781,-74.03338,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xCA\x15\xDE\xE5\x22\x82R\xC0&\x92\xE8e\x14OD@
Sunset Park Farmstand,Yes,true,false,7th Ave. and 44th St.,Brooklyn,40.645841,-74.002402,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00{\xDC\xB7Z\x27\x80R\xC0;\xB5\xFA\xEA\xAARD@
Boro Park Greenmarket,Yes,true,false,14th Ave. bet 49th & 50th Sts.,Brooklyn,40.633285,-73.990548,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x91Gp#e\x7FR\xC0\x11\x06\x9E{\x0FQD@
Red Hook Farm Stand,Yes,true,false,560 Columbia St.,Brooklyn,40.672524,-74.00871,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00{Ic\xB4\x8E\x80R\xC07\xE34D\x15VD@
QueensVillage Farmers Market,TBD,false,false,QueensVillage Long Island Railroad Commuter Parking Lot - Amboy Ln. & Springfield Blvd.,Queens,40.717978,-73.735337,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00{\xA2\xEB\xC2\x0FoR\xC0\xAB\x9F\xFE\xB3\xE6[D@
Forest Hills Greenmarket,Yes,true,true,Queens Blvd. & 70th Ave.,Queens,40.722054,-73.847155,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00%\xE9\x9A\xC97vR\xC0\x17\xF9\xF5Cl\x5CD@
Jackson Heights Greenmarket,Yes,true,true,34th Ave. & 79th St.,Queens,40.753607,-73.887739,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x8F\x18=\xB7\xD0xR\xC0\xB2\x84\xB51v`D@
Children's Aid Society Go!Healthy Food Box + Famstand - Goodhue Center,Yes,true,false,304 Prospect Ave.,Staten Island,40.638936,-74.097966,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xAE\x87/\x13E\x86R\xC0Y\x1E\xA4\xA7\xC8QD@
Inwood Park Greenmarket,Yes,true,true,Isham St bet Seaman Ave. & Cooper St.,Manhattan,40.869001,-73.920896,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1A\xC1\xC6\xF5\xEFzR\xC0}\x98\xBDl;oD@
Gouverneur Health Farmstand,Yes,true,false,Madison St. bet Clinton & Jefferson Sts.,Manhattan,40.712905,-73.986928,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00n\xE0\x0E\xD4)\x7FR\xC0\xD1\x13\x96x@[D@
82nd Street Greenmarket,Yes,true,true,E. 82nd St. bet 1st & York Aves,Manhattan,40.774292,-73.951262,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00]\xFB\x02z\xE1|R\xC0\xF8\xC6\x10\x00\x1CcD@
Harvest Home Harlem Hospital Farmers Market,Yes,true,false,W. 137th St. & Lenox Ave.,Manhattan,40.815403,-73.93991,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBC\xCBE|\x27|R\xC0\xB8\x07! _hD@
Tucker Square Greenmarket,Yes,true,true,Columbus & 66th St.,Manhattan,40.773709,-73.98196,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xBB~\xC1n\xD8~R\xC0{\xCF\x81\xE5\x08cD@
Project EATS & St. Barnabas Hospital Farm Stand,Yes,true,false,4507 3rd Ave.,Bronx,40.853237,-73.891742,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0E\x9E\x09M\x12yR\xC0\x5C^\xB9\xDE6mD@
Morrisania Farmstand,Yes,true,false,169th St. & Boston Rd. (at McKinley Square),Bronx,40.83118,-73.900545,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE2\xE4~\x87\xA2yR\xC0n\x8B2\x1BdjD@
Children's Aid Go!Healthy Food Box + Farmstand - CS211,Yes,true,false,1919 Prospect Ave.,Bronx,40.843546,-73.889755,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xF5\x9C\xF4\xBE\xF1xR\xC0\xF8U\xB9P\xF9kD@
Eastchester Farmstand,Yes,true,false,1250 E. 229th St.,Bronx,40.88372,-73.842046,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x91\xEE\xE7\x14\xE4uR\xC0\x1Ai\xA9\xBC\x1DqD@
La Familia Verde Farmers Market,Yes,true,false,E. Tremont Ave. bet Arthur Ave. & LaFontaine Ave.,Bronx,40.846448,-73.893563,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x9Az\xDD\x220yR\xC0\xDF\xE1vhXlD@
Riverdale Y Sunday Farmers Market,Yes,true,true,4545 Independence Ave.,Bronx,40.891762,-73.912208,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x93\xC9\xA9\x9DazR\xC0e\xE8\xD8A%rD@
7th Ave Sunset Park Greenmarket,Yes,true,true,7th Ave. & 44th St.,Brooklyn,40.645841,-74.002402,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00{\xDC\xB7Z\x27\x80R\xC0;\xB5\xFA\xEA\xAARD@
Brownsville Pitkin Farmstand,Yes,true,false,Pitkin Ave. bet Thomas Boyland and Amboy St.,Brooklyn,40.669234,-73.913698,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xEB\x1A-\x07zzR\xC0\x88\xAF\xAFu\xA9UD@
Wyckoff House Museum Farmstand,Yes,true,false,5816 Clarendon Road,Brooklyn,40.64497,-73.920914,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00m\x1BFA\xF0zR\xC0[s\x80`\x8ERD@
Park Slope's Down to Earth Farmers Market,Yes,true,true,4th St. & 5th Ave.,Brooklyn,40.672194,-73.983785,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE7R\x5CU\xF6~R\xC0\xA0H\xF7s\x0AVD@
Bartel-Pritchard Square Greenmarket,Yes,true,true,Prospect Park W. at 15th St.,Brooklyn,40.661354,-73.96968,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00u\xE5\xB3<\x0F~R\xC0\x17\x8At?\xA7TD@
Brooklyn Grange Farm Stand,Yes,true,false,850 3rd Ave. (Roof),Brooklyn,40.658518,-74.003327,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00g\x0Cs\x826\x80R\xC0\xE6\xE9\x5CQJTD@
Flushing Greenmarket,Yes,true,false,Sanford Ave. & Union St. (Bowne Playground),Queens,40.757731,-73.824852,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x93\x02\x0B`\xCAtR\xC0+\x15TT\xFD`D@
Forest Park Farmstand,Yes,true,false,Park Lane South & Myrtle Ave. (My Buddy Statue Plaza),Queens,40.701192,-73.841597,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00Y\xDA\xA9\xB9\xDCuR\xC0\xC1\x1B\xD2\xA8\xC0YD@
Socrates Sculpture Park,Yes,true,false,32-01 Vernon Blvd.,Queens,40.767634,-73.936314,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00]2\x8E\x91\xEC{R\xC0\x1C\xA6\xB6\xD4AbD@
Harvest Home Lenox Avenue Farm Stand,Yes,true,false,Lenox Ave. bet. W. 117 & 118 Sts.,Manhattan,40.802699,-73.949186,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x8C\xF4\xA2v\xBF|R\xC0\x17\xC4@\xD7\xBEfD@
Children's Aid  Go!Healthy Food Box + Farmstand - Milbank Center,Yes,true,false,14-32 W. 118th St.,Manhattan,40.802317,-73.946351,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00]\xE2\xC8\x03\x91|R\xC0/\x03\xCER\xB2fD@
Chelsea's Down to Earth Farmers Market,Yes,true,false,W. 23rd St. bet 8th & 9th Aves.,Manhattan,40.745293,-73.998488,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB3\x5C6:\xE7\x7FR\xC0\x07x\xD2\xC2e_D@
Lower East Side Farmstand,Yes,true,false,Grand St. bet Pitt and Willett Sts. (outside of Abrons Arts Center),Manhattan,40.71521,-73.984258,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE34D\x15\xFE~R\xC0\xD7\xE2S\x00\x8C[D@
Harvest Home Hunts Point Farm Stand,Yes,true,false,Southern Blvd bet Barretto & Tiffany Sts. (Luis Suarez Memorial Park),Bronx,40.81894,-73.893492,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x005\xCF\x11\xF9.yR\xC0p\xB1\xA2\x06\xD3hD@
The Market at Preston,Yes,false,false,2780 Schurz Ave. (Preston High School),Bronx,40.814256,-73.819339,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x97U\xD8\x0CptR\xC0/Ie\x8A9hD@
Seeds in the Middle - Flatbush - Hillel Plaza Farm Stand,Yes,true,false,Flatbush/Nostrand Triangle,Brooklyn,40.63262,-73.947439,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1E\xFD/\xD7\xA2|R\xC0\xD4e1\xB1\xF9PD@
Seeds in the Middle - Flabush - Ditmas Park Farm Stand,Yes,true,false,330 Rugby Rd.,Brooklyn,40.641937,-73.965523,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00K\x22\xFB \xCB}R\xC0\xD4\x8B\xDA\xFD*RD@
McCarren Park Greenmarket,Yes,true,true,N. 12th bet Union & Driggs,Brooklyn,40.719219,-73.952479,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1D\xC8zj\xF5|R\xC0\xB8\xD4A^\x0F\x5CD@
Bensonhurst Greenmarket,Yes,true,false,18th Ave. bet 81st & 82nd Sts.,Brooklyn,40.609588,-73.999677,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0Fd=\xB5\xFA\x7FR\xC0^\x04\xC6\xFA\x06ND@
4th Ave Sunset Park Greenmarket,Yes,true,false,4th Ave. 60th St.,Brooklyn,40.647975,-74.003744,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x99cyW=\x80R\xC0\x15\xD0D\xD8\xF0RD@
People in Need Farmstand,yes,false,true,114 Beverly Road,Brooklyn,40.642934,-73.978827,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00F\x5C\x00\x1A\xA5~R\xC0D\xBEK\xA9KRD@
Myrtle-Wyckoff Greenmarket,Yes,true,false,Wyckoff bet Gates & Myrtle Aves,Queens,40.699798,-73.911523,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00Q\xA3\x90dVzR\xC05\xE7\x19\xFB\x92YD@
Sunnyside Greenmarket,Yes,true,true,Skillman Ave. & 43rd St.,Queens,40.74701,-73.92173,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00~o\xD3\x9F\xFDzR\xC0z\xE4\x0F\x06\x9E_D@
Queens Farm - Queens Borough Hall,Yes,true,false,120-55 Queens Blvd.,Queens,40.713318,-73.82858,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA9\x87ht\x07uR\xC0\xF7\xD2\x14\x01N[D@
St. Albans Farmers Market,TBD,false,false,St. Albans Long Island Railroad Commuter Parking Lot - Linden Blvd. bet 180th & Newburg Sts.,Queens,40.69225,-73.766682,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA4\x1BaQ\x11qR\xC0\xF7S\xE3\xA5\x9BXD@
Heritage Farm Stand (Gazebo Road),Yes,true,false,1000 Richmond Terrace (Gazebo Road),Staten Island,40.645075,-74.104753,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1BJ\xEDE\xB4\x86R\xC0\xCD;N\xD1\x91RD@
Harvest Home East Harlem Farmers Market,Yes,true,false,E. 104th St. & 3rd Ave.,Manhattan,40.7903,-73.945635,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xFD\xBC\xA9H\x85|R\xC0\xB0\x03\xE7\x8C(eD@
Fulton Stall Market (indoor farmers market),Yes,true,true,91 South St.,Manhattan,40.705865,-74.003769,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00F\xEFT\xC0=\x80R\xC0\x0D2\xC9\xC8YZD@
94th Street Greenmarket,Yes,true,false,E. 94th St. & 1st Ave.,Manhattan,40.781968,-73.945267,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00<\xBF(A\x7F|R\xC0`B\x05\x87\x17dD@
Two Bridges Youth Market,Yes,true,false,50 Madison St.,Manhattan,40.711958,-73.997825,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00f\x88c]\xDC\x7FR\xC0\x13\x10\x93p![D@
